Date,Open,High,Low,Close,Adj Close,Volume
2020-12-12,1.158693,1.226450,1.157527,1.187910,1.187910,431517
2020-12-13,1.188917,1.258408,1.166128,1.246806,1.246806,91373
2020-12-14,1.248393,1.291209,1.222813,1.251252,1.251252,68409
2020-12-15,1.251271,1.326145,1.251271,1.296674,1.296674,419031
2020-12-16,1.296675,1.308573,1.227329,1.303417,1.303417,328804
2020-12-17,1.303502,1.323691,1.255068,1.290480,1.290480,765683
2020-12-18,1.290464,1.469312,1.266773,1.458485,1.458485,165628
2020-12-19,1.458464,1.507218,1.399939,1.436489,1.436489,187029
2020-12-20,1.442212,1.468263,1.389213,1.423083,1.423083,638834
2020-12-21,1.423188,1.431134,1.348351,1.422164,1.422164,625662
2020-12-22,1.421016,1.802852,1.412088,1.563012,1.563012,3149382
2020-12-23,1.561545,1.571614,1.125294,1.229428,1.229428,1493608
2020-12-24,1.233349,1.411371,1.211891,1.374410,1.374410,988939
2020-12-25,1.374459,1.392794,1.249682,1.277578,1.277578,506715
2020-12-26,1.273185,1.444000,1.259398,1.444000,1.444000,1189158
2020-12-27,1.443890,1.619160,1.296484,1.338453,1.338453,2236800
2020-12-28,1.338197,1.477545,1.326800,1.426901,1.426901,1172548
2020-12-29,1.427069,1.452045,1.229753,1.279022,1.279022,902923
2020-12-30,1.279019,1.331114,1.234044,1.265765,1.265765,676582
2020-12-31,1.265843,1.342599,1.235867,1.295411,1.295411,459063
2021-01-01,1.295352,1.421372,1.285604,1.356657,1.356657,358941
2021-01-02,1.356683,1.395564,1.271338,1.290510,1.290510,847258
2021-01-03,1.292131,1.343264,1.240871,1.308783,1.308783,1182059
2021-01-04,1.308109,1.451865,1.290843,1.343016,1.343016,439386
2021-01-05,1.343004,1.477504,1.319935,1.477504,1.477504,1360042
2021-01-06,1.477507,1.608444,1.357253,1.501480,1.501480,2301889
2021-01-07,1.501459,1.509365,1.367170,1.389552,1.389552,871408
2021-01-08,1.389208,1.438664,1.284549,1.426686,1.426686,1361768
2021-01-09,1.426609,1.612359,1.401758,1.538043,1.538043,2156817
2021-01-10,1.537873,1.602479,1.334265,1.452344,1.452344,2434658
2021-01-11,1.452300,1.452300,1.181509,1.267949,1.267949,1737671
2021-01-12,1.268336,1.379675,1.253823,1.321231,1.321231,453987
2021-01-13,1.309043,1.409198,1.265160,1.401437,1.401437,1035493
2021-01-14,1.405139,1.433525,1.337666,1.430720,1.430720,1053967
2021-01-15,1.429683,1.561656,1.396957,1.546222,1.546222,2572500
2021-01-16,1.546142,1.750969,1.486623,1.532814,1.532814,3199643
2021-01-17,1.533445,1.760624,1.396075,1.713600,1.713600,4978218
2021-01-18,1.713608,1.823150,1.632679,1.711666,1.711666,2971552
2021-01-19,1.711080,1.969920,1.674807,1.824157,1.824157,3457443
2021-01-20,1.817293,1.902652,1.612421,1.749276,1.749276,2717087
2021-01-21,1.751193,1.758731,1.465501,1.467625,1.467625,2443135
2021-01-22,1.468466,1.683516,1.401722,1.621368,1.621368,2455938
2021-01-23,1.615017,1.830958,1.604121,1.808333,1.808333,1044559
2021-01-24,1.817100,1.828997,1.668333,1.764212,1.764212,532678
2021-01-25,1.764221,2.185405,1.763450,2.098291,2.098291,8386821
2021-01-26,2.098356,2.256067,1.881188,2.035975,2.035975,5910380
2021-01-27,2.032451,2.143575,1.836037,2.068782,2.068782,3777756
2021-01-28,2.067182,2.571750,2.024479,2.488573,2.488573,8644520
2021-01-29,2.409134,2.504331,2.078232,2.304115,2.304115,5402142
2021-01-30,2.295472,2.373099,2.173691,2.331861,2.331861,1043239
2021-01-31,2.332813,2.569077,2.231789,2.263674,2.263674,3930529
2021-02-01,2.263679,2.557706,2.177151,2.375646,2.375646,4135176
2021-02-02,2.370135,2.458153,2.296140,2.360074,2.360074,1919140
2021-02-03,2.356184,2.713342,2.340192,2.641233,2.641233,3538496
2021-02-04,2.641456,2.911968,2.475448,2.819628,2.819628,6124170
2021-02-05,2.797097,3.181485,2.777724,3.149941,3.149941,4547052
2021-02-06,3.148021,3.939567,2.791869,3.662636,3.662636,1088507
2021-02-07,3.649370,3.855582,3.146485,3.394756,3.394756,1501813
2021-02-08,3.394722,3.855414,3.211901,3.687370,3.687370,1529642
2021-02-09,3.714292,4.053484,3.584194,3.943403,3.943403,1582031
2021-02-10,3.939495,4.121126,3.461533,3.688227,3.688227,2710158
2021-02-11,3.686302,4.256494,3.574986,4.080022,4.080022,2800338
2021-02-12,4.077111,4.806882,3.859919,4.554434,4.554434,961524
2021-02-13,4.596272,4.785944,4.117066,4.394491,4.394491,4749656
2021-02-14,4.392710,5.148057,4.162295,4.606888,4.606888,10753146
2021-02-15,4.594877,4.909682,3.726273,3.915351,3.915351,1071413
2021-02-16,3.915520,4.680827,3.785897,4.132466,4.132466,1758975
2021-02-17,4.132378,4.238860,3.825730,4.092213,4.092213,6330761
2021-02-18,4.094479,4.286949,3.933357,4.198030,4.198030,6873262
2021-02-19,4.208056,4.648085,4.036908,4.552965,4.552965,1829098
2021-02-20,4.553671,4.576244,3.880834,4.099310,4.099310,159797
2021-02-21,4.110823,4.321156,4.014182,4.203058,4.203058,4115389
2021-02-22,4.206150,4.206150,2.981018,3.640768,3.640768,5900894
2021-02-23,3.638216,3.659756,2.500389,3.246797,3.246797,3425624
2021-02-24,3.258768,3.640295,3.069005,3.626862,3.626862,5593180
2021-02-25,3.638533,4.236707,3.629027,3.648109,3.648109,7521324
2021-02-26,3.660007,4.155946,3.412419,3.942164,3.942164,7627888
2021-02-27,3.944021,4.091860,3.783655,3.857583,3.857583,2878465
2021-02-28,3.861610,4.309822,3.663874,4.175751,4.175751,3523247
2021-03-01,4.175754,4.395570,4.040017,4.190228,4.190228,1678748
2021-03-02,4.190098,4.259040,3.907674,4.044362,4.044362,1198334
2021-03-03,4.044498,4.298145,4.004228,4.180490,4.180490,3139984
2021-03-04,4.178645,4.427181,4.057305,4.236437,4.236437,5453055
2021-03-05,4.225908,4.241878,3.895535,4.012060,4.012060,5418519
2021-03-06,4.008931,4.096064,3.901832,4.070215,4.070215,1280829
2021-03-07,4.067475,4.338765,4.054670,4.292329,4.292329,4515337
2021-03-08,4.295207,4.689711,4.240826,4.567959,4.567959,7082061
2021-03-09,4.562448,4.930780,4.504431,4.769457,4.769457,3063691
2021-03-10,4.775991,6.620764,4.441574,6.542666,6.542666,28929884
2021-03-11,6.525123,7.937203,6.342995,6.342995,6.342995,58579587
2021-03-12,6.348570,6.486809,5.836717,5.973337,5.973337,18719202
2021-03-13,5.963955,7.191783,5.659989,6.964517,6.964517,20076629
2021-03-14,6.966624,7.586926,6.521606,6.526697,6.526697,20571934
2021-03-15,6.494547,6.806519,6.074843,6.458880,6.458880,16452712
2021-03-16,6.452404,7.899017,6.452404,7.058756,7.058756,8585282
2021-03-17,7.072393,7.672141,6.663969,7.610648,7.610648,16735091
2021-03-18,7.607806,8.100654,7.056521,7.496054,7.496054,11316701
2021-03-19,7.502660,9.307007,7.173962,8.943168,8.943168,31769753
2021-03-20,8.942608,9.720373,8.325030,8.343358,8.343358,19950064
2021-03-21,8.350225,9.772062,8.262081,9.591121,9.591121,17656825
2021-03-22,9.582886,9.989056,8.787206,8.899821,8.899821,19392960
2021-03-23,8.847459,9.265085,7.934708,8.063372,8.063372,15935391
2021-03-24,8.044655,8.615372,6.856274,7.091225,7.091225,13395100
2021-03-25,7.063035,7.357934,6.588565,7.101441,7.101441,11137493
2021-03-26,7.106495,8.671492,7.106495,8.294720,8.294720,16291576
2021-03-27,8.280358,11.761492,8.046071,10.548359,10.548359,48430391
2021-03-28,10.589517,11.969627,9.854578,10.199239,10.199239,34787495
2021-03-29,10.209028,10.759949,9.848480,10.291180,10.291180,18597387
2021-03-30,10.284775,10.426844,9.917200,10.053480,10.053480,11057080
2021-03-31,10.051642,10.803068,9.090036,10.501485,10.501485,19143298
2021-04-01,10.499140,13.272537,10.303420,12.901734,12.901734,42669364
2021-04-02,13.089941,15.095684,12.672144,13.559170,13.559170,72743580
2021-04-03,13.539820,17.307858,13.431922,15.333942,15.333942,68996694
